scenario,ewoc,burn_in,simulation,true_mtd,closest_target_dose,selected_mtd,selected_without_final_ewoc,ewoc_final_downshift,additional_duration_weeks,total_duration_weeks,stopped_early,n_total,n_new,n_acute_tox,n_subacute_tox,any_acute_tox,any_subacute_tox,n_above_true_mtd,pct_above_true_mtd,n_L0,n_L1,n_L2,n_L3,n_L4,n_new_L0,n_new_L1,n_new_L2,n_new_L3,n_new_L4
Acute steep,EWOC during + final,False,196,2,3,2,3,1,96.0,120.0,False,30,24,4,2,True,True,9,30.0,0,6,15,9,0,0,0,15,9,0
Acute steep,EWOC during + final,False,197,2,3,2,3,1,96.0,120.0,False,30,24,4,1,True,True,15,50.0,0,6,9,12,3,0,0,9,12,3
Acute steep,EWOC during + final,False,198,2,3,2,2,0,96.0,120.0,False,30,24,6,0,True,False,12,40.0,0,6,12,12,0,0,0,12,12,0
Acute steep,EWOC during + final,False,199,2,3,3,3,0,96.0,120.0,False,30,24,3,3,True,True,12,40.0,0,6,12,12,0,0,0,12,12,0
Acute steep,EWOC during + final,False,200,2,3,2,3,1,96.0,120.0,False,30,24,3,2,True,True,3,10.0,0,6,21,3,0,0,0,21,3,0
Acute steep,EWOC final only,True,1,2,3,1,2,1,96.0,120.0,False,30,24,8,3,True,True,6,20.0,0,6,18,6,0,0,0,18,6,0
Acute steep,EWOC final only,True,2,2,3,2,3,1,96.0,120.0,False,30,24,5,2,True,True,10,33.333333333333336,0,6,14,10,0,0,0,14,10,0
Acute steep,EWOC final only,True,3,2,3,2,2,0,96.0,120.0,False,30,24,5,0,True,False,3,10.0,0,6,21,3,0,0,0,21,3,0
Acute steep,EWOC final only,True,4,2,3,2,3,1,96.0,120.0,False,30,24,5,4,True,True,12,40.0,0,6,12,12,0,0,0,12,12,0
Acute steep,EWOC final only,True,5,2,3,2,3,1,96.0,120.0,False,30,24,4,0,True,False,20,66.66666666666667,0,6,4,20,0,0,0,4,20,0
Acute steep,EWOC final only,True,6,2,3,2,2,0,96.0,120.0,False,30,24,6,1,True,True,15,50.0,0,6,9,15,0,0,0,9,15,0
Acute steep,EWOC final only,True,7,2,3,2,2,0,96.0,120.0,False,30,24,6,1,True,True,16,53.333333333333336,0,6,8,16,0,0,0,8,16,0
Acute steep,EWOC final only,True,8,2,3,2,2,0,96.0,120.0,False,30,24,6,1,True,True,14,46.666666666666664,0,6,10,11,3,0,0,10,11,3
Acute steep,EWOC final only,True,9,2,3,2,2,0,96.0,120.0,False,30,24,6,2,True,True,9,30.0,0,6,15,9,0,0,0,15,9,0
Acute steep,EWOC final only,True,10,2,3,2,2,0,96.0,120.0,False,30,24,5,2,True,True,8,26.666666666666668,0,6,16,8,0,0,0,16,8,0
Acute steep,EWOC final only,True,11,2,3,3,3,0,96.0,120.0,False,30,24,4,2,True,True,19,63.333333333333336,0,6,5,16,3,0,0,5,16,3
Acute steep,EWOC final only,True,12,2,3,2,2,0,96.0,120.0,False,30,24,6,0,True,False,18,60.0,0,6,6,18,0,0,0,6,18,0
Acute steep,EWOC final only,True,13,2,3,2,3,1,96.0,120.0,False,30,24,5,7,True,True,20,66.66666666666667,0,6,4,20,0,0,0,4,20,0
Acute steep,EWOC final only,True,14,2,3,3,4,1,96.0,120.0,False,30,24,3,2,True,True,15,50.0,0,6,9,6,9,0,0,9,6,9
Acute steep,EWOC final only,True,15,2,3,2,3,1,96.0,120.0,False,30,24,6,5,True,True,20,66.66666666666667,0,6,4,5,15,0,0,4,5,15
Acute steep,EWOC final only,True,16,2,3,2,3,1,96.0,120.0,False,30,24,5,0,True,False,21,70.0,0,6,3,18,3,0,0,3,18,3
Acute steep,EWOC final only,True,17,2,3,2,3,1,96.0,120.0,False,30,24,4,3,True,True,9,30.0,0,9,12,9,0,0,3,12,9,0
Acute steep,EWOC final only,True,18,2,3,2,2,0,96.0,120.0,False,30,24,7,2,True,True,13,43.333333333333336,0,6,11,13,0,0,0,11,13,0
Acute steep,EWOC final only,True,19,2,3,2,3,1,96.0,120.0,False,30,24,7,3,True,True,20,66.66666666666667,0,6,4,14,6,0,0,4,14,6
Acute steep,EWOC final only,True,20,2,3,2,3,1,96.0,120.0,False,30,24,7,3,True,True,20,66.66666666666667,0,6,4,9,11,0,0,4,9,11
Acute steep,EWOC final only,True,21,2,3,2,2,0,96.0,120.0,False,30,24,5,2,True,True,0,0.0,0,6,24,0,0,0,0,24,0,0
Acute steep,EWOC final only,True,22,2,3,3,4,1,96.0,120.0,False,30,24,3,2,True,True,19,63.333333333333336,0,6,5,3,16,0,0,5,3,16
Acute steep,EWOC final only,True,23,2,3,3,3,0,96.0,120.0,False,30,24,4,1,True,True,21,70.0,0,6,3,18,3,0,0,3,18,3
Acute steep,EWOC final only,True,24,2,3,2,2,0,96.0,120.0,False,30,24,4,2,True,True,0,0.0,0,15,15,0,0,0,9,15,0,0
Acute steep,EWOC final only,True,25,2,3,2,2,0,96.0,120.0,False,30,24,8,5,True,True,15,50.0,0,6,9,9,6,0,0,9,9,6
Acute steep,EWOC final only,True,26,2,3,2,2,0,96.0,120.0,False,30,24,7,3,True,True,16,53.333333333333336,0,6,8,13,3,0,0,8,13,3
Acute steep,EWOC final only,True,27,2,3,3,4,1,96.0,120.0,False,30,24,4,5,True,True,20,66.66666666666667,0,6,4,3,17,0,0,4,3,17
Acute steep,EWOC final only,True,28,2,3,2,2,0,96.0,120.0,False,30,24,5,1,True,True,3,10.0,0,6,21,3,0,0,0,21,3,0
Acute steep,EWOC final only,True,29,2,3,2,3,1,96.0,120.0,False,30,24,3,2,True,True,9,30.0,0,6,15,9,0,0,0,15,9,0
Acute steep,EWOC final only,True,30,2,3,2,3,1,96.0,120.0,False,30,24,4,2,True,True,21,70.0,0,6,3,21,0,0,0,3,21,0
Acute steep,EWOC final only,True,31,2,3,2,3,1,96.0,120.0,False,30,24,7,7,True,True,20,66.66666666666667,0,6,4,10,10,0,0,4,10,10
